Player,Tm,Pos,G,PassingCmp,PassingAtt,PassingYds,PassingTD,PassingInt,RushingAtt,RushingYds,RushingY/A,RushingTD,ReceivingTgt,ReceivingRec,ReceivingYds,ReceivingY/R,ReceivingTD,FumblesFmb,FumblesFL,Scoring2PM,Scoring2PP,Name
Sean McKeon,DAL,TE,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,27.0,6.75,1.0,0.0,0.0,0.0,0.0,S.McKeon
Anthony Miller,2TM,WR,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,25.0,4.17,1.0,0.0,0.0,0.0,0.0,A.Miller
Keith Smith,ATL,RB,17,0.0,0.0,0.0,0.0,0.0,9.0,31.0,3.44,0.0,10.0,9.0,56.0,6.22,0.0,0.0,0.0,0.0,0.0,K.Smith
Kyle Allen,WAS,QB,2,12.0,19.0,120.0,1.0,0.0,2.0,11.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,K.Allen
Alex Armah,2TM,RB,11,0.0,0.0,0.0,0.0,0.0,5.0,21.0,4.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,A.Armah
Garrett Gilbert,WAS,QB,1,20.0,31.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,G.Gilbert
Tyree Jackson,PHI,TE,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,22.0,7.33,1.0,0.0,0.0,0.0,0.0,T.Jackson
Chris Myarick,NYG,TE,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,17.0,5.67,1.0,0.0,0.0,0.0,0.0,C.Myarick
Dezmon Patmon,IND,WR,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,21.0,10.5,1.0,0.0,0.0,0.0,0.0,D.Patmon
Drew Sample,CIN,TE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11.0,81.0,7.36,0.0,0.0,0.0,0.0,0.0,D.Sample
Mitchell Trubisky,BUF,QB,6,6.0,8.0,43.0,0.0,1.0,13.0,24.0,1.85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M.Trubisky
Preston Williams,MIA,WR,8,0.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,0.0,16.0,6.0,71.0,11.83,0.0,0.0,0.0,0.0,0.0,P.Williams
KJ Hamler,DEN,WR,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,74.0,14.8,0.0,0.0,0.0,0.0,0.0,K.Hamler
Josh Oliver,BAL,TE,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,9.0,66.0,7.33,0.0,1.0,0.0,0.0,0.0,J.Oliver
Andre Roberts,2TM,WR,16,0.0,0.0,0.0,0.0,0.0,3.0,19.0,6.33,0.0,2.0,1.0,35.0,35.0,0.0,3.0,2.0,0.0,0.0,A.Roberts
Johnny Stanton,CLE,RB,4,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.67,0.0,2.0,2.0,7.0,3.5,1.0,0.0,0.0,0.0,0.0,J.Stanton
Jonathan Ward,ARI,RB,13,0.0,0.0,0.0,0.0,0.0,9.0,33.0,3.67,0.0,4.0,3.0,34.0,11.33,0.0,0.0,0.0,0.0,0.0,J.Ward
Dede Westbrook,MIN,WR,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,68.0,6.8,0.0,2.0,0.0,0.0,0.0,D.Westbrook
C.J. Board,NYG,WR,6,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,0.0,6.0,4.0,51.0,12.75,0.0,0.0,0.0,0.0,0.0,C.Board
Mike Boone,DEN,RB,8,0.0,0.0,0.0,0.0,0.0,4.0,35.0,8.75,0.0,2.0,2.0,22.0,11.0,0.0,0.0,0.0,0.0,0.0,M.Boone
Ja'Marcus Bradley,CLE,WR,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,64.0,16.0,0.0,0.0,0.0,0.0,0.0,J.Bradley
Alex Erickson,CAR,WR,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,55.0,18.33,0.0,0.0,0.0,0.0,0.0,A.Erickson
Luke Farrell,JAX,TE,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,56.0,8.0,0.0,1.0,0.0,0.0,0.0,L.Farrell
